ID,IATA
10135,ABE
10136,ABI
10140,ABQ
10141,ABR
10146,ABY
10154,ACK
10155,ACT
10157,ACV
10158,ACY
10165,ADK
10170,ADQ
10185,AEX
10208,AGS
10216,AHN
10221,AIA
10245,AKN
10257,ALB
10266,ALM
10268,ALO
10272,ALS
10275,ALW
10279,AMA
10299,ANC
10304,ANI
10322,AOO
10333,APN
10361,ART
10372,ASE
10397,ATL
10408,ATW
10409,ATY
10414,AUG
10423,AUS
10431,AVL
10434,AVP
10466,AZA
10469,AZO
10529,BDL
10551,BET
10557,BFD
10558,BFF
10561,BFL
10577,BGM
10581,BGR
10589,BHB
10590,IFP
10599,BHM
10620,BIL
10627,BIS
10631,BJI
10643,BKG
10654,BKW
10666,BLI
10685,BMI
10693,BNA
10713,BOI
10721,BOS
10728,BPT
10731,BQK
10732,BQN
10739,BRD
10744,BRL
10747,BRO
10754,BRW
10779,BTM
10781,BTR
10785,BTV
10792,BUF
10800,BUR
10821,BWI
10849,BZN
10868,CAE
10874,CAK
10917,CDB
10918,CDC
10925,CDR
10926,CDV
10930,CEC
10950,CEZ
10967,CGI
10980,CHA
10990,CHO
10994,CHS
11002,CIC
11003,CID
11013,CIU
11027,CKB
11041,CLD
11042,CLE
11049,CLL
11057,CLT
11066,CMH
11067,CMI
11076,CMX
11085,CNM
11092,CNY
11097,COD
11109,COS
11111,COU
11122,CPR
11140,CRP
11146,CRW
11150,CSG
11193,CVG
11197,CVN
11203,CWA
11227,CYF
11233,CYS
11252,DAB
11259,DAL
11267,DAY
11274,DBQ
11278,DCA
11283,DDC
11292,DEN
11298,DFW
11308,DHN
11315,DIK
11336,DLG
11337,DLH
11413,DRO
11415,DRT
11423,DSM
11433,DTW
11441,DUJ
11445,DUT
11447,DVL
11468,EAR
11470,EAT
11471,EAU
11481,ECP
11503,EGE
11525,EKO
11531,ELD
11537,ELM
11540,ELP
11555,ENA
11577,ERI
11587,ESC
11603,EUG
11612,EVV
11615,EWB
11617,EWN
11618,EWR
11624,EYW
11630,FAI
11637,FAR
11638,FAT
11641,FAY
11648,FCA
11684,FKL
11695,FLG
11697,FLL
11699,FLO
11711,FMN
11719,FNL
11721,FNT
11725,FOD
11775,FSD
11778,FSM
11823,FWA
11856,GBD
11865,GCC
11867,GCK
11879,GDV
11884,GEG
11898,GFK
11905,GGG
11908,GGW
11921,GJT
11931,GLH
11953,GNV
11973,GPT
11977,GRB
11980,GRI
11982,GRK
11986,GRR
11995,GSO
11996,GSP
12003,GTF
12007,GTR
12012,GUC
12016,GUM
12094,HDN
12119,HGR
12124,HHH
12129,HIB
12156,HLN
12173,HNL
12177,HOB
12184,HOM
12185,HON
12191,HOU
12197,HPN
12206,HRL
12217,HSV
12223,HTS
12244,HVN
12245,HVR
12250,HYA
12255,HYS
12264,IAD
12265,IAG
12266,IAH
12278,ICT
12280,IDA
12297,IGM
12319,ILE
12323,ILM
12335,IMT
12339,IND
12343,INL
12363,IPL
12365,IPT
12375,IRK
12389,ISN
12391,ISP
12397,ITH
12402,ITO
12412,IWD
12436,IYK
12441,JAC
12448,JAN
12451,JAX
12478,JFK
12492,JHM
12494,JHW
12511,JLN
12519,JMS
12523,JNU
12559,JST
12758,KOA
12807,KSM
12819,KTN
12884,LAN
12888,LAR
12889,LAS
12891,LAW
12892,LAX
12896,LBB
12898,LBE
12899,LBF
12902,LBL
12915,LCH
12917,LCK
12932,LEB
12945,LEX
12951,LFT
12953,LGA
12954,LGB
12982,LIH
12992,LIT
13024,LMT
13029,LNK
13032,LNS
13034,LNY
13061,LRD
13076,LSE
13121,LWB
13127,LWS
13128,LWT
13139,LYH
13158,MAF
13176,MAZ
13182,MBL
13184,MBS
13194,MCE
13196,MCG
13198,MCI
13200,MCK
13203,MCN
13204,MCO
13211,MCW
13230,MDT
13232,MDW
13241,MEI
13244,MEM
13256,MFE
13264,MFR
13277,MGM
13282,MGW
13290,MHK
13296,MHT
13303,MIA
13342,MKE
13344,MKG
13347,MKK
13348,MKL
13360,MLB
13367,MLI
13375,MLS
13377,MLU
13388,MMH
13422,MOB
13424,MOD
13433,MOT
13459,MQT
13476,MRY
13484,MSL
13485,MSN
13486,MSO
13487,MSP
13490,MSS
13495,MSY
13502,MTJ
13541,MVY
13543,MWA
13577,MYR
13795,OAJ
13796,OAK
13830,OGG
13832,OGS
13851,OKC
13862,OLF
13871,OMA
13873,OME
13891,ONT
13930,ORD
13931,ORF
13964,OTH
13970,OTZ
13983,OWB
14006,PAH
14025,PBG
14027,PBI
14057,PDX
14081,PGA
14082,PGD
14092,PGV
14098,PHF
14100,PHL
14107,PHX
14108,PIA
14109,PIB
14112,PIE
14113,PIH
14120,PIR
14122,PIT
14131,PKB
14150,PLN
14193,PNS
14222,PPG
14231,PQI
14237,PRC
14252,PSC
14254,PSE
14256,PSG
14262,PSP
14288,PUB
14303,PUW
14306,PVC
14307,PVD
14321,PWM
14457,RAP
14487,RDD
14489,RDM
14492,RDU
14512,RFD
14520,RHI
14524,RIC
14534,RIW
14539,RKD
14543,RKS
14570,RNO
14574,ROA
14576,ROC
14588,ROW
14633,RST
14635,RSW
14648,RUT
14674,SAF
14679,SAN
14683,SAT
14685,SAV
14689,SBA
14696,SBN
14698,SBP
14704,SBY
14709,SCC
14711,SCE
14716,SCK
14730,SDF
14738,SDP
14745,SDY
14747,SEA
14761,SFB
14771,SFO
14783,SGF
14794,SGU
14802,SHD
14812,SHR
14814,SHV
14828,SIT
14831,SJC
14842,SJT
14843,SJU
14869,SLC
14875,SLK
14893,SMF
14905,SMX
14908,SNA
14919,SNP
14943,SOW
14952,SPI
14955,SPN
14960,SPS
14986,SRQ
