,path,flow,ID,node,IATA,name,lon,lat
0,"(1, 1, 1)",0.0219215,11057,288,CLT,Charlotte Douglas International Airport,-80.94309997558594,35.2140007019043
1,"(1, 1, 2)",0.0157078,14100,161,PHL,Philadelphia International Airport,-75.24109649658203,39.87189865112305
2,"(1, 1, 3)",0.0116289,14122,466,PIT,Pittsburgh International Airport,-80.23290253,40.49150085
3,"(1, 1, 4)",0.00547419,11278,172,DCA,Ronald Reagan Washington National Airport,-77.037697,38.8521
4,"(1, 1, 5)",0.00234275,10721,298,BOS,General Edward Lawrence Logan International Airport,-71.00520325,42.36429977
5,"(1, 1, 6)",0.00231716,10397,235,ATL,Hartsfield Jackson Atlanta International Airport,-84.428101,33.6367
6,"(1, 1, 7)",0.00195482,12953,274,LGA,La Guardia Airport,-73.87259674,40.77719879
7,"(1, 1, 8)",0.00175587,14107,163,PHX,Phoenix Sky Harbor International Airport,-112.01200103759766,33.43429946899414
8,"(1, 1, 9)",0.00168769,11298,391,DFW,Dallas Fort Worth International Airport,-97.038002,32.896801
9,"(1, 1, 10)",0.00160343,15304,390,TPA,Tampa International Airport,-82.533203125,27.975500106811523
10,"(1, 1, 11)",0.00158939,14492,107,RDU,Raleigh Durham International Airport,-78.7874984741211,35.877601623535156
11,"(1, 1, 12)",0.00153356,10529,168,BDL,Bradley International Airport,-72.68319702149999,41.9388999939
12,"(1, 1, 13)",0.00136464,13930,144,ORD,Chicago O'Hare International Airport,-87.9048,41.9786
13,"(1, 1, 14)",0.00130689,13204,75,MCO,Orlando International Airport,-81.30899810791016,28.429399490356445
14,"(1, 1, 15)",0.00102168,11697,201,FLL,Fort Lauderdale Hollywood International Airport,-80.152702,26.072599
15,"(1, 1, 16)",0.000991712,14307,352,PVD,Theodore Francis Green State Airport,-71.42040252685547,41.73260116577149
16,"(1, 1, 17)",0.000932393,12892,529,LAX,Los Angeles International Airport,-118.40799709999999,33.94250107
17,"(1, 1, 18)",0.000878128,12339,80,IND,Indianapolis International Airport,-86.294403,39.7173
18,"(1, 1, 19)",0.000866694,14027,225,PBI,Palm Beach International Airport,-80.09559631347656,26.68320083618164
19,"(1, 1, 20)",0.000854042,10257,499,ALB,Albany International Airport,-73.80169677734375,42.74829864501953
20,"(1, 1, 21)",0.000850348,11433,522,DTW,Detroit Metropolitan Wayne County Airport,-83.35340118408203,42.212398529052734
21,"(1, 1, 22)",0.00084581,14771,292,SFO,San Francisco International Airport,-122.375,37.61899948120117
22,"(1, 1, 23)",0.0008388769999999999,13296,371,MHT,Manchester-Boston Regional Airport,-71.435699,42.932598
23,"(1, 1, 24)",0.000828443,10792,72,BUF,Buffalo Niagara International Airport,-78.73220062,42.94049835
24,"(1, 1, 25)",0.00081794,13931,143,ORF,Norfolk International Airport,-76.20120239257812,36.89459991455078
25,"(1, 1, 26)",0.0008156010000000001,11995,406,GSO,Piedmont Triad International Airport,-79.93730163574219,36.097801208496094
26,"(1, 1, 27)",0.000799111,14524,59,RIC,Richmond International Airport,-77.3197021484375,37.50519943237305
27,"(1, 1, 28)",0.000779874,11066,377,CMH,John Glenn Columbus International Airport,-82.891899,39.998001
28,"(1, 1, 29)",0.000776978,11292,343,DEN,Denver International Airport,-104.672996521,39.861698150635
29,"(1, 1, 30)",0.000766427,14635,187,RSW,Southwest Florida International Airport,-81.75520324707031,26.53619956970215
30,"(1, 1, 31)",0.0007469960000000001,13303,458,MIA,Miami International Airport,-80.29060363769531,25.79319953918457
31,"(1, 1, 32)",0.0006401509999999999,12889,123,LAS,McCarran International Airport,-115.15200039999999,36.08010101
32,"(1, 1, 33)",0.000614061,13230,485,MDT,Harrisburg International Airport,-76.7633972168,40.1935005188
33,"(1, 1, 34)",0.0006059980000000001,11267,14,DAY,James M Cox Dayton International Airport,-84.21939849853516,39.90240097045898
34,"(1, 1, 35)",0.0005715869999999999,10785,470,BTV,Burlington International Airport,-73.15329742429998,44.471900939899996
35,"(1, 1, 36)",0.000569603,10994,501,CHS,Charleston Air Force Base-International Airport,-80.04049683,32.89860153
36,"(1, 1, 37)",0.000559252,12451,474,JAX,Jacksonville International Airport,-81.68789672851562,30.49410057067871
