77|,76|,23
77|,78|,19
77|,67|,25
77|,87|77,26
76|,75|,23
76|,77|76,25
76|,66|76,28
76|,86|76,26
75|,85|,26
75|,65|,21
75|,76|75,27
75|,74|75,26
66|,67|,27
66|,76|66,31
66|,65|66,24
66|,56|66,30
67|,77|,22
67|,57|,31
67|,66|67,31
67|,68|67,26
65|,64|,22
65|,66|,25
65|,55|65,33
65|,75|65,21
55|,56|,27
55|,65|55,32
55|,54|55,33
55|,45|55,33
45|,35|,28
45|,55|45,36
45|,44|45,26
45|,46|45,27
54|,44|,31
54|,55|,29
54|,64|54,28
54|,53|54,36
64|,65|,22
64|,54|64,30
64|,74|64,35
64|,63|64,25
44|,43|,28
44|,54|44,36
44|,45|44,37
44|,34|44,30
63|,62|,16
63|,73|,13
63|,64|63,34
63|,53|63,27
74|,73|,20
74|,75|,22
74|,64|,28
74|,84|74,27
73|,72|,22
73|,83|,19
73|,74|,18
73|,63|,16
72|,82|,20
72|,62|,20
72|,73|,22
72|,71|72,31
71|,61|,21
71|,81|,26
71|,70|,28
71|,72|71,26
81|,80|,20
81|,71|81,20
81|,82|81,29
81|,91|81,36
70|,79|,23
70|,80|,17
70|,71|70,17
70|,60|70,30
61|,51|,19
61|,62|,29
61|,60|,20
61|,71|61,33
60|,50|,22
60|,70|,26
60|,61|60,26
60|,69|60,32
51|,50|,19
51|,61|,33
51|,52|51,26
51|,41|51,23
41|,42|,27
41|,31|,21
41|,40|,24
41|,51|41,44
50|,40|,28
50|,60|,25
50|,51|50,16
50|,59|50,30
52|,62|,27
52|,51|,23
52|,53|52,36
52|,42|52,30
42|,32|,21
42|,52|42,25
42|,43|42,36
42|,41|42,31
53|,43|,45
53|,54|,26
53|,52|53,40
53|,63|53,26
43|,53|,39
43|,42|43,32
43|,44|43,42
43|,33|43,31
33|,34|,25
33|,43|33,37
33|,23|33,37
33|,32|33,30
34|,35|,24
34|,44|34,31
34|,33|34,27
34|,24|34,27
46|,56|,22
46|,45|,30
46|,47|,25
46|,36|46,32
36|,26|,25
36|,37|,24
36|,35|,14
36|,46|36,30
26|,36|,20
26|,25|,23
26|,27|,14
26|,16|,12
37|,36|,22
37|,47|,26
37|,27|,19
37|,38|37,37
38|,28|,20
38|,37|38,32
38|,48|38,32
38|,39|38,30
47|,46|,28
47|,37|47,30
47|,48|47,33
47|,57|47,28
39|,30|,25
39|,29|,18
39|,38|39,29
39|,49|39,32
48|,47|,36
48|,38|,26
48|,49|48,30
48|,58|48,28
58|,48|58,31
58|,59|58,35
58|,68|58,29
58|,57|58,27
49|,40|,24
49|,48|,25
49|,59|49,41
49|,39|49,27
59|,49|59,32
59|,69|59,31
59|,58|59,37
59|,50|59,36
69|,68|,25
69|,60|,29
69|,59|69,31
69|,79|69,25
68|,67|,29
68|,78|,21
68|,69|,16
68|,58|68,34
57|,58|,24
57|,47|,32
57|,67|57,32
57|,56|57,31
78|,77|,19
78|,68|,19
78|,79|,24
78|,88|78,20
79|,70|,15
79|,69|,32
79|,89|,13
79|,78|79,29
56|,66|,28
56|,46|,22
56|,55|,28
56|,57|56,32
35|,36|,20
35|,34|,22
35|,45|,20
35|,25|,21
23|,22|,19
23|,13|,24
23|,33|23,36
23|,24|23,20
32|,42|,24
32|,31|,22
32|,33|32,37
32|,22|32,29
24|,23|,19
24|,25|,17
24|,14|,23
24|,34|24,35
22|,32|,27
22|,12|,27
22|,21|,25
22|,23|22,28
12|,11|,26
12|,22|12,29
12|,13|12,21
12|,2|12,30
31|,30|,16
31|,32|31,34
31|,21|31,28
31|,41|31,37
13|,12|,25
13|,23|,15
13|,3|,24
13|,14|13,25
14|,4|,21
14|,15|,30
14|,24|,23
14|,13|,20
4|,5|,20
4|,14|,25
4|,94|,17
4|,3|4,26
94|,84|,18
94|,95|,28
94|,4|94,24
94|,93|94,28
3|,93|,31
3|,13|,23
3|,4|,21
3|,2|3,31
2|,92|,29
2|,12|,28
2|,1|,25
2|,3|2,31
93|,83|,29
93|,92|,26
93|,3|93,27
93|,94|93,27
83|,73|,19
83|,82|,29
83|,84|,26
83|,93|83,29
84|,94|,30
84|,85|,22
84|,74|,20
84|,83|84,30
92|,2|,27
92|,82|,24
92|,91|,18
92|,93|,23
91|,90|,13
91|,81|,19
91|,92|91,24
91|,1|91,33
82|,83|,25
82|,92|,14
82|,72|,23
82|,81|82,41
11|,1|,20
11|,12|11,26
11|,10|11,23
11|,21|11,39
1|,0|,24
1|,2|,25
1|,91|,12
1|,11|1,44
10|,20|,23
10|,0|,27
10|,19|,16
10|,11|10,21
85|,95|,25
85|,84|,31
85|,75|85,32
85|,86|85,27
95|,96|,19
95|,85|95,39
95|,5|95,27
95|,94|95,26
86|,76|,19
86|,96|,26
86|,85|86,27
86|,87|86,36
96|,86|,27
96|,95|,28
96|,6|,18
96|,97|,18
87|,86|,28
87|,97|,19
87|,88|,18
87|,77|,24
97|,98|,22
97|,96|,22
97|,87|,13
97|,7|,23
98|,99|,19
98|,97|,24
98|,88|,19
98|,8|,28
88|,89|,11
88|,87|,14
88|,78|,12
88|,98|88,28
99|,9|,18
99|,89|,21
99|,98|,15
99|,90|99,23
90|,0|,21
90|,80|,20
90|,99|90,23
90|,91|90,22
9|,8|,30
9|,19|,14
9|,99|,16
9|,0|,25
8|,98|,26
8|,7|,17
8|,9|8,27
8|,18|8,30
19|,10|,25
19|,29|,19
19|,18|,14
19|,9|,20
18|,17|,16
18|,28|,24
18|,8|,21
18|,19|18,28
0|,90|,28
0|,9|,21
0|,10|,22
0|,1|0,29
21|,20|,24
21|,31|,50
21|,22|,28
21|,11|,14
20|,10|,17
20|,30|,23
20|,29|,24
20|,21|20,24
30|,20|,23
30|,40|,18
30|,31|30,24
30|,39|30,22
40|,50|,22
40|,49|,22
40|,41|40,26
40|,30|40,24
62|,72|,23
62|,52|,26
62|,61|,20
62|,63|,23
80|,70|,18
80|,90|,19
80|,89|,13
80|,81|80,20
89|,99|,22
89|,79|,16
89|,80|,12
25|,35|,19
25|,26|,15
25|,15|,27
25|,24|,23
27|,17|,17
27|,26|,13
27|,28|,21
27|,37|,18
17|,16|,18
17|,18|,26
17|,7|,13
17|,27|,12
16|,26|,15
16|,17|,23
16|,15|,17
16|,6|,17
29|,19|,20
29|,28|,15
29|,20|,18
29|,39|,25
